TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,LoginAttempts,AccountBalance,PreviousTransactionDate
TRANSACTIONS1000BASELINE000073,ACB00073,580.84,2024-02-03T12:00:00,Debit,Omaha,Online,42,Student,2,2773.32,
TRANSACTIONS1000BASELINE000074,ACB00074,229.23,2024-01-23T11:00:00,Debit,Las Vegas,ATM,59,Doctor,1,6967.72,
TRANSACTIONS1000BASELINE000075,ACB00075,309.38,2024-02-14T11:00:00,Debit,Virginia Beach,Online,47,Retired,2,9287.30,
TRANSACTIONS1000BASELINE000076,ACB00076,200.75,2024-02-13T12:00:00,Debit,Washington,Online,49,Engineer,1,4584.66,
TRANSACTIONS1000BASELINE000077,ACB00077,5.00,2024-01-07T15:00:00,Debit,Raleigh,Online,51,Retired,1,5930.90,
TRANSACTIONS1000BASELINE000078,ACB00078,199.93,2024-01-05T10:00:00,Debit,Jacksonville,Online,42,Student,2,3292.25,
TRANSACTIONS1000BASELINE000079,ACB00079,89.82,2024-01-31T15:00:00,Debit,Phoenix,ATM,40,Doctor,2,3725.34,
TRANSACTIONS1000BASELINE000080,ACB00080,722.13,2024-01-26T12:00:00,Credit,Fort Worth,Online,43,Student,1,4028.71,
TRANSACTIONS1000BASELINE000081,ACB00081,5.00,2024-01-30T19:00:00,Credit,Omaha,Online,42,Student,2,1755.26,
TRANSACTIONS1000BASELINE000082,ACB00082,592.20,2024-02-09T17:00:00,Debit,Washington,Branch,43,Doctor,1,4775.12,
TRANSACTIONS1000BASELINE000083,ACB00083,37.30,2024-02-12T14:00:00,Credit,Seattle,Online,32,Engineer,1,7353.79,
TRANSACTIONS1000BASELINE000084,ACB00084,199.62,2024-02-04T12:00:00,Credit,San Jose,ATM,43,Student,1,2637.94,
TRANSACTIONS1000BASELINE000085,ACB00085,399.33,2024-01-18T11:00:00,Debit,Tucson,Branch,48,Engineer,1,5498.08,
TRANSACTIONS1000BASELINE000086,ACB00086,281.72,2024-02-11T10:00:00,Debit,Memphis,Online,37,Engineer,1,8559.83,
TRANSACTIONS1000BASELINE000087,ACB00087,793.88,2024-02-12T10:00:00,Debit,Mesa,Branch,40,Student,1,6743.55,
TRANSACTIONS1000BASELINE000088,ACB00088,386.76,2024-01-03T09:00:00,Debit,Mesa,Online,25,Student,1,1840.78,
TRANSACTIONS1000BASELINE000089,ACB00089,524.38,2024-01-20T12:00:00,Debit,El Paso,Online,46,Retired,2,4330.55,
TRANSACTIONS1000BASELINE000090,ACB00090,219.47,2024-01-25T20:00:00,Credit,Milwaukee,Branch,35,Engineer,1,1016.00,
TRANSACTIONS1000BASELINE000091,ACB00091,5.00,2024-02-12T15:00:00,Debit,Jacksonville,ATM,44,Doctor,1,2938.00,
TRANSACTIONS1000BASELINE000092,ACB00092,816.05,2024-01-28T14:00:00,Debit,New York,Branch,39,Doctor,1,3269.64,
TRANSACTIONS1000BASELINE000093,ACB00093,5.00,2024-02-15T15:00:00,Debit,Detroit,ATM,39,Engineer,1,5925.46,
TRANSACTIONS1000BASELINE000094,ACB00094,549.86,2024-01-10T09:00:00,Debit,Raleigh,ATM,49,Doctor,1,14630.89,
TRANSACTIONS1000BASELINE000095,ACB00095,468.19,2024-02-08T16:00:00,Credit,San Diego,Branch,55,Retired,1,7662.65,
TRANSACTIONS1000BASELINE000096,ACB00096,848.55,2024-02-06T11:00:00,Debit,Chicago,ATM,53,Doctor,1,9980.37,
TRANSACTIONS1000BASELINE000097,ACB00097,283.02,2024-01-20T09:00:00,Debit,Omaha,Branch,52,Retired,1,5399.07,
TRANSACTIONS1000BASELINE000098,ACB00098,322.40,2024-02-14T20:00:00,Debit,Washington,Online,38,Student,1,4725.83,
TRANSACTIONS1000BASELINE000099,ACB00099,107.43,2024-02-09T13:00:00,Debit,Seattle,ATM,58,Retired,3,4276.52,
TRANSACTIONS1000BASELINE000100,ACB00100,169.35,2024-02-15T09:00:00,Debit,Portland,ATM,49,Student,1,6793.08,
TRANSACTIONS1000BASELINE000101,ACB00101,227.60,2024-01-08T15:00:00,Credit,Jacksonville,ATM,54,Retired,1,8187.90,
TRANSACTIONS1000BASELINE000102,ACB00102,377.70,2024-01-06T20:00:00,Credit,Charlotte,Branch,48,Engineer,1,7271.10,
TRANSACTIONS1000BASELINE000103,ACB00103,469.27,2024-01-31T10:00:00,Credit,Louisville,Online,34,Student,1,3338.20,
TRANSACTIONS1000BASELINE000104,ACB00104,377.17,2024-01-15T11:00:00,Credit,Houston,Online,28,Student,1,1888.84,
TRANSACTIONS1000BASELINE000105,ACB00105,303.49,2024-01-09T10:00:00,Credit,Houston,ATM,50,Doctor,1,7401.84,
TRANSACTIONS1000BASELINE000106,ACB00106,264.89,2024-01-31T12:00:00,Debit,Mesa,Online,44,Engineer,2,4281.05,
TRANSACTIONS1000BASELINE000107,ACB00107,21.27,2024-02-05T18:00:00,Debit,Fresno,ATM,46,Retired,1,3239.57,
TRANSACTIONS1000BASELINE000108,ACB00108,423.12,2024-01-15T09:00:00,Debit,Portland,Branch,35,Doctor,1,4549.42,
TRANSACTIONS1000BASELINE000109,ACB00109,245.09,2024-01-16T20:00:00,Debit,El Paso,Branch,39,Student,1,4506.96,
TRANSACTIONS1000BASELINE000110,ACB00110,647.85,2024-01-19T09:00:00,Debit,San Antonio,Branch,37,Engineer,1,697.85,
TRANSACTIONS1000BASELINE000111,ACB00111,25.29,2024-01-24T16:00:00,Debit,Raleigh,Branch,43,Doctor,1,3413.33,
TRANSACTIONS1000BASELINE000112,ACB00112,341.54,2024-01-02T19:00:00,Debit,Tucson,Online,38,Student,1,2917.66,
TRANSACTIONS1000BASELINE000113,ACB00113,429.92,2024-01-09T11:00:00,Debit,Miami,Online,39,Student,1,6767.15,
TRANSACTIONS1000BASELINE000114,ACB00114,671.44,2024-01-16T20:00:00,Credit,San Jose,Online,41,Engineer,1,2944.05,
TRANSACTIONS1000BASELINE000115,ACB00115,306.03,2024-01-16T16:00:00,Debit,Jacksonville,Branch,47,Engineer,1,4579.57,
TRANSACTIONS1000BASELINE000116,ACB00116,371.29,2024-02-12T20:00:00,Debit,Tucson,Branch,43,Student,1,2319.74,
TRANSACTIONS1000BASELINE000117,ACB00117,1043.44,2024-01-05T10:00:00,Credit,Philadelphia,ATM,41,Retired,1,3455.18,
TRANSACTIONS1000BASELINE000118,ACB00118,501.93,2024-01-12T19:00:00,Debit,Raleigh,Branch,51,Retired,2,4665.34,
TRANSACTIONS1000BASELINE000119,ACB00119,1664.02,2024-01-15T16:00:00,Credit,Omaha,Online,44,Engineer,1,3170.61,
TRANSACTIONS1000BASELINE000120,ACB00120,40.92,2024-02-06T20:00:00,Credit,Philadelphia,Branch,24,Student,2,4505.78,
TRANSACTIONS1000BASELINE000121,ACB00001,321.19,2024-01-19T08:00:00,Debit,Oklahoma City,Online,39,Student,2,5805.71,2024-01-16T11:00:00
TRANSACTIONS1000BASELINE000122,ACB00002,36.63,2024-02-01T19:00:00,Debit,Colorado Springs,ATM,47,Retired,1,3755.94,2024-01-31T16:00:00
TRANSACTIONS1000BASELINE000123,ACB00003,255.25,2024-02-05T12:00:00,Debit,San Francisco,Online,47,Engineer,1,5108.37,2024-02-03T12:00:00
TRANSACTIONS1000BASELINE000124,ACB00004,252.96,2024-01-16T02:00:00,Debit,Washington,ATM,55,Retired,2,4694.08,2024-01-14T09:00:00
TRANSACTIONS1000BASELINE000125,ACB00005,502.24,2024-02-02T13:00:00,Credit,Austin,Branch,47,Doctor,1,4167.08,2024-01-30T13:00:00
TRANSACTIONS1000BASELINE000126,ACB00006,761.50,2024-01-09T02:00:00,Credit,Indianapolis,Online,60,Retired,2,8005.12,2024-01-05T17:00:00
TRANSACTIONS1000BASELINE000127,ACB00007,191.62,2024-02-15T14:00:00,Credit,Memphis,Branch,43,Student,2,2401.43,2024-02-13T19:00:00
TRANSACTIONS1000BASELINE000128,ACB00008,272.46,2024-01-26T15:00:00,Debit,Charlotte,Online,56,Engineer,3,6663.40,2024-01-23T13:00:00
TRANSACTIONS1000BASELINE000129,ACB00009,7.02,2024-02-05T09:00:00,Debit,Los Angeles,Online,48,Engineer,1,4922.43,2024-02-02T13:00:00
TRANSACTIONS1000BASELINE000130,ACB00010,297.84,2024-01-06T09:00:00,Credit,Phoenix,ATM,52,Retired,1,7491.22,2024-01-03T17:00:00
TRANSACTIONS1000BASELINE000131,ACB00011,5.00,2024-01-10T22:00:00,Credit,San Jose,Online,43,Student,1,4484.21,2024-01-10T14:00:00
TRANSACTIONS1000BASELINE000132,ACB00012,241.42,2024-01-30T20:00:00,Debit,San Francisco,Branch,44,Student,3,2173.32,2024-01-28T09:00:00
TRANSACTIONS1000BASELINE000133,ACB00013,347.90,2024-02-02T09:00:00,Debit,Miami,Online,54,Engineer,1,6376.59,2024-01-31T18:00:00
TRANSACTIONS1000BASELINE000134,ACB00014,277.63,2024-02-03T22:00:00,Debit,Chicago,Branch,48,Engineer,1,8080.51,2024-02-02T14:00:00
TRANSACTIONS1000BASELINE000135,ACB00015,286.74,2024-02-13T09:00:00,Debit,Omaha,Branch,32,Student,2,1244.50,2024-02-12T08:00:00
TRANSACTIONS1000BASELINE000136,ACB00016,268.47,2024-01-21T03:00:00,Debit,Columbus,Online,28,Student,1,10086.47,2024-01-18T13:00:00
TRANSACTIONS1000BASELINE000137,ACB00017,455.09,2024-02-09T15:00:00,Debit,Washington,ATM,47,Engineer,1,4980.34,2024-02-09T09:00:00
TRANSACTIONS1000BASELINE000138,ACB00018,508.04,2024-01-30T12:00:00,Debit,San Jose,Branch,40,Engineer,1,6941.30,2024-01-28T11:00:00
TRANSACTIONS1000BASELINE000139,ACB00019,96.70,2024-01-27T15:00:00,Debit,San Diego,Online,46,Retired,1,5480.58,2024-01-25T20:00:00
TRANSACTIONS1000BASELINE000140,ACB00020,488.07,2024-02-07T00:00:00,Debit,Milwaukee,ATM,59,Engineer,1,2129.31,2024-02-05T18:00:00
TRANSACTIONS1000BASELINE000141,ACB00021,250.09,2024-02-12T16:00:00,Credit,Milwaukee,Branch,60,Retired,1,4607.03,2024-02-11T20:00:00
TRANSACTIONS1000BASELINE000142,ACB00022,36.81,2024-02-10T11:00:00,Debit,Charlotte,ATM,52,Retired,2,4654.81,2024-02-08T08:00:00
TRANSACTIONS1000BASELINE000143,ACB00023,905.90,2024-01-18T01:00:00,Debit,Chicago,ATM,53,Doctor,2,3412.76,2024-01-14T09:00:00
TRANSACTIONS1000BASELINE000144,ACB00024,54.85,2024-01-15T12:00:00,Debit,Jacksonville,Branch,45,Doctor,2,5309.42,2024-01-14T18:00:00
TRANSACTIONS1000BASELINE000145,ACB00025,5.00,2024-02-17T00:00:00,Debit,El Paso,Online,44,Student,1,5315.05,2024-02-13T19:00:00
TRANSACTIONS1000BASELINE000146,ACB00026,350.73,2024-01-18T03:00:00,Credit,Dallas,Branch,41,Student,1,3599.11,2024-01-15T20:00:00
TRANSACTIONS1000BASELINE000147,ACB00027,492.09,2024-01-05T23:00:00,Debit,Kansas City,Branch,39,Student,1,4172.60,2024-01-03T16:00:00
TRANSACTIONS1000BASELINE000148,ACB00028,78.86,2024-01-19T18:00:00,Debit,Colorado Springs,Branch,44,Engineer,2,5409.40,2024-01-18T11:00:00
TRANSACTIONS1000BASELINE000149,ACB00029,122.19,2024-01-02T18:00:00,Debit,Nashville,Online,46,Doctor,1,3736.84,2024-01-02T12:00:00
TRANSACTIONS1000BASELINE000150,ACB00030,5.00,2024-01-29T06:00:00,Debit,San Antonio,Branch,48,Engineer,1,5068.68,2024-01-26T08:00:00
TRANSACTIONS1000BASELINE000151,ACB00031,5.00,2024-02-01T00:00:00,Debit,Colorado Springs,Online,45,Student,2,3801.26,2024-01-28T15:00:00
TRANSACTIONS1000BASELINE000152,ACB00032,5.00,2024-02-06T06:00:00,Debit,Atlanta,Branch,32,Student,1,3115.96,2024-02-03T13:00:00
TRANSACTIONS1000BASELINE000153,ACB00033,115.80,2024-01-23T13:00:00,Credit,Phoenix,Branch,52,Engineer,1,2134.06,2024-01-21T17:00:00
TRANSACTIONS1000BASELINE000154,ACB00034,5.52,2024-02-08T02:00:00,Credit,Austin,ATM,51,Retired,1,4293.93,2024-02-05T15:00:00
TRANSACTIONS1000BASELINE000155,ACB00035,211.45,2024-01-04T14:00:00,Debit,Kansas City,ATM,38,Student,1,3817.00,2024-01-01T15:00:00
TRANSACTIONS1000BASELINE000156,ACB00036,35.81,2024-01-05T02:00:00,Debit,Los Angeles,ATM,28,Student,2,5747.98,2024-01-01T12:00:00
TRANSACTIONS1000BASELINE000157,ACB00037,267.56,2024-02-12T00:00:00,Debit,Omaha,ATM,43,Engineer,2,6677.97,2024-02-09T12:00:00
TRANSACTIONS1000BASELINE000158,ACB00038,849.47,2024-01-28T13:00:00,Debit,Charlotte,ATM,53,Doctor,2,3332.38,2024-01-26T16:00:00
TRANSACTIONS1000BASELINE000159,ACB00039,195.87,2024-01-15T14:00:00,Debit,Houston,Branch,44,Engineer,1,3282.80,2024-01-12T14:00:00
TRANSACTIONS1000BASELINE000160,ACB00040,386.48,2024-01-12T09:00:00,Debit,Colorado Springs,Online,45,Student,2,5706.89,2024-01-09T20:00:00
TRANSACTIONS1000BASELINE000161,ACB00041,5.00,2024-01-23T00:00:00,Debit,Louisville,ATM,45,Student,1,2727.06,2024-01-21T18:00:00
TRANSACTIONS1000BASELINE000162,ACB00042,5.00,2024-02-11T13:00:00,Credit,Seattle,Branch,48,Doctor,1,8305.23,2024-02-10T15:00:00
TRANSACTIONS1000BASELINE000163,ACB00043,537.68,2024-02-05T09:00:00,Debit,Houston,Branch,53,Retired,1,5053.93,2024-02-03T13:00:00
TRANSACTIONS1000BASELINE000164,ACB00044,555.21,2024-02-09T17:00:00,Debit,Denver,ATM,37,Student,1,2902.70,2024-02-06T10:00:00
TRANSACTIONS1000BASELINE000165,ACB00045,129.00,2024-01-20T07:00:00,Debit,Philadelphia,ATM,71,Retired,1,5414.28,2024-01-17T08:00:00
TRANSACTIONS1000BASELINE000166,ACB00046,260.74,2024-02-04T20:00:00,Debit,Omaha,ATM,43,Engineer,1,6775.90,2024-02-03T19:00:00
TRANSACTIONS1000BASELINE000167,ACB00047,494.87,2024-01-25T19:00:00,Debit,Phoenix,Branch,40,Student,1,3426.54,2024-01-24T17:00:00
TRANSACTIONS1000BASELINE000168,ACB00048,151.88,2024-01-08T09:00:00,Debit,Nashville,Online,53,Doctor,2,6761.09,2024-01-04T18:00:00
TRANSACTIONS1000BASELINE000169,ACB00049,145.10,2024-01-16T06:00:00,Credit,Raleigh,Branch,56,Retired,1,5972.39,2024-01-13T18:00:00
TRANSACTIONS1000BASELINE000170,ACB00050,231.77,2024-02-18T15:00:00,Debit,Philadelphia,Online,46,Retired,1,1622.78,2024-02-15T14:00:00
TRANSACTIONS1000BASELINE000171,ACB00051,5.00,2024-02-03T21:00:00,Debit,Chicago,Online,52,Retired,1,6433.30,2024-01-31T13:00:00
TRANSACTIONS1000BASELINE000172,ACB00052,382.54,2024-01-21T03:00:00,Debit,Boston,ATM,46,Retired,1,3779.45,2024-01-19T11:00:00
TRANSACTIONS1000BASELINE000173,ACB00053,259.00,2024-02-17T09:00:00,Debit,Omaha,ATM,47,Doctor,1,9593.60,2024-02-15T09:00:00
TRANSACTIONS1000BASELINE000174,ACB00054,291.86,2024-01-06T23:00:00,Debit,Memphis,ATM,35,Student,1,4026.75,2024-01-04T17:00:00
TRANSACTIONS1000BASELINE000175,ACB00055,5.00,2024-01-30T08:00:00,Credit,Seattle,ATM,54,Engineer,1,4484.92,2024-01-26T17:00:00
TRANSACTIONS1000BASELINE000176,ACB00056,177.78,2024-01-12T17:00:00,Debit,Fresno,ATM,25,Student,3,683.95,2024-01-09T14:00:00
TRANSACTIONS1000BASELINE000177,ACB00057,741.82,2024-01-26T11:00:00,Debit,New York,ATM,37,Student,1,3318.26,2024-01-22T11:00:00
TRANSACTIONS1000BASELINE000178,ACB00058,734.76,2024-01-31T11:00:00,Debit,Denver,Online,48,Engineer,1,4426.49,2024-01-28T19:00:00
TRANSACTIONS1000BASELINE000179,ACB00059,98.97,2024-01-04T20:00:00,Debit,San Francisco,Online,40,Doctor,1,7041.32,2024-01-03T10:00:00
TRANSACTIONS1000BASELINE000180,ACB00060,80.16,2024-02-09T18:00:00,Debit,Dallas,Online,60,Doctor,1,9594.53,2024-02-07T13:00:00
TRANSACTIONS1000BASELINE000181,ACB00061,40.77,2024-02-03T06:00:00,Debit,Charlotte,Online,38,Student,1,5992.45,2024-02-01T16:00:00
TRANSACTIONS1000BASELINE000182,ACB00062,152.34,2024-02-14T02:00:00,Debit,Los Angeles,Online,45,Student,1,2558.44,2024-02-13T09:00:00
TRANSACTIONS1000BASELINE000183,ACB00063,305.48,2024-01-28T00:00:00,Debit,Milwaukee,Online,28,Student,1,4450.08,2024-01-24T11:00:00
TRANSACTIONS1000BASELINE000184,ACB00064,433.36,2024-01-20T00:00:00,Debit,Louisville,Branch,32,Student,1,5811.47,2024-01-16T08:00:00
TRANSACTIONS1000BASELINE000185,ACB00065,386.13,2024-01-07T22:00:00,Debit,Washington,ATM,49,Engineer,1,7059.64,2024-01-07T16:00:00
TRANSACTIONS1000BASELINE000186,ACB00066,516.46,2024-01-30T14:00:00,Debit,Tucson,Online,50,Engineer,1,6103.11,2024-01-26T20:00:00
TRANSACTIONS1000BASELINE000187,ACB00067,5.00,2024-02-11T22:00:00,Debit,Charlotte,Online,47,Doctor,1,5146.92,2024-02-08T08:00:00
